name,credit,class,for,totalstudent,day,shift,at,lectures
Đại số tuyến tính 2,4,"MAT2301 1,2",Toán học,,3,3-5,108-T5,Nguyễn Hữu Việt Hưng
Đại số tuyến tính 2,4,MAT2301 1,Toán học,30,2,4-5,107-T5,Nguyễn Thế Cường
Đại số tuyến tính 2,4,MAT2301 2,Toán học,30,2,4-5,108-T5,Phạm Văn Tuấn
Kinh tế chính trị Mác - Lênin,3,Môn chung,Toán học,,,,Môn chung toàn trường,
Tiếng Anh B1,5,Môn chung,Toán học,,,,#N/A,
Cơ học lý thuyết,3,MAT1076,Toán học,,3,1-2,107-T5,Trần Thanh Tuấn
Cơ học lý thuyết,3,MAT1076,Toán học,,5,1-2,107-T5,Trần Thanh Tuấn
Giải tích 2,5,MAT2303 3,Toán học,,3,3-5,306-T5,Ngô Quốc Anh
Giải tích 2,5,MAT2303 3,Toán học,,4,1-2,309-T5,Trịnh Viết Dược
Giải tích 2,5,MAT2303 3,Toán học,,5,4-5,311-T5,Trịnh Viết Dược
Đại số tuyến tính 2,5,MAT2321,Toán học,,6,3-5,303-T5,Nguyễn Hữu Việt Hưng
Đại số tuyến tính 2,5,MAT2321,Toán học,,4,3-5,303-T5,Ngô Anh Tuấn
Nhập môn phân tích dữ liệu,2,Môn chung,Toán học,,,,#N/A,
Nhập môn Internet kết nối vạn vật,2,Môn chung,Toán học,,,,#N/A,
Tiếng Anh B1,5,Môn chung,Toán Tin,,,,#N/A,
Kinh tế chính trị Mác - Lênin,2,Môn chung,Toán Tin,,,,Môn chung toàn trường,
Giải tích 2,4,"MAT2303 4,5",Toán Tin,,2,3-5,209-T5,Vũ Nhật Huy
Giải tích 2,4,MAT2303 4,Toán Tin,30,3,1-2,204-T5,Trần Thế Dũng
Giải tích 2,4,MAT2303 5,Toán Tin,30,3,1-2,203-T5,Nguyễn Tiến Tài
Giải tích 2,4,MAT2303 4,Toán Tin,30,6,1-2,105-T5,Trần Thế Dũng
Giải tích 2,4,MAT2303 5,Toán Tin,30,6,1-2,106-T5,Nguyễn Tiến Tài
Đại số tuyến tính 2,4,"MAT2301 3,4",Toán Tin,,6,3-5,207-T5,Đào Phương Bắc
Đại số tuyến tính 2,4,MAT2301 3,Toán Tin,30,2,1-2,101-T5,Nguyễn Thế Cường
Đại số tuyến tính 2,4,MAT2301 4,Toán Tin,30,2,1-2,104-T5,Đỗ Việt Cường
Lập trình cơ bản,3,"MAT2505 4,5,6",Toán Tin,,3,4-5,201-T4,Nguyễn Thị Tâm
Lập trình cơ bản,3,MAT2505 4,Toán Tin,20,5,1-5,PM,BMTH
Lập trình cơ bản,3,MAT2505 5,Toán Tin,20,5,1-5,PM,BMTH
Lập trình cơ bản,3,MAT2505 6,Toán Tin,20,5,1-5,PM,BMTH
Thống kê cho khoa học xã hội,2,MAT1078 1,ĐHKHXH&NV,,4,7-9,,Nguyễn Trọng Hiếu
Thống kê cho khoa học xã hội,2,MAT1078 2,ĐHKHXH&NV,,3,7-9,,Nguyễn Trọng Hiếu
